"age","job","marital","education","default","housing","loan","campaign","poutcome","y"
33,"admin.","married","university.degree","no","yes","no",1,"success","yes"
33,"admin.","single","university.degree","no","yes","yes",1,"nonexistent","no"
30,"technician","single","university.degree","no","yes","no",13,"nonexistent","no"
28,"admin.","single","university.degree","no","no","no",1,"nonexistent","no"
24,"technician","single","professional.course","no","no","no",4,"nonexistent","no"
41,"blue-collar","married","basic.4y","no","yes","yes",2,"nonexistent","no"
26,"admin.","married","high.school","no","no","no",4,"nonexistent","no"
40,"admin.","married","unknown","no","no","no",4,"nonexistent","no"
45,"housemaid","single","basic.4y","no","no","no",4,"nonexistent","yes"
42,"admin.","married","university.degree","unknown","yes","no",2,"nonexistent","no"
41,"technician","married","high.school","no","no","no",2,"nonexistent","yes"
56,"management","divorced","basic.9y","unknown","yes","no",2,"nonexistent","no"
25,"technician","single","high.school","no","yes","no",3,"failure","no"
25,"blue-collar","single","high.school","unknown","yes","no",1,"nonexistent","no"
33,"admin.","single","high.school","no","yes","no",1,"nonexistent","no"
34,"technician","married","basic.9y","no","no","no",1,"nonexistent","no"
36,"technician","single","high.school","no","yes","no",1,"failure","no"
75,"retired","married","university.degree","no","yes","no",1,"failure","yes"
38,"management","married","university.degree","no","no","yes",1,"nonexistent","no"
28,"student","single","unknown","no","yes","no",1,"failure","no"
56,"retired","married","basic.4y","unknown","yes","no",1,"nonexistent","no"
58,"blue-collar","married","professional.course","no","no","no",12,"nonexistent","no"
30,"blue-collar","single","unknown","no","yes","yes",1,"nonexistent","no"
48,"admin.","married","university.degree","unknown","yes","no",1,"nonexistent","no"
30,"admin.","married","high.school","no","yes","no",6,"nonexistent","no"
43,"admin.","married","high.school","no","unknown","unknown",2,"nonexistent","no"
33,"admin.","single","university.degree","no","no","no",2,"nonexistent","no"
36,"technician","married","basic.6y","no","no","no",2,"failure","no"
54,"retired","single","high.school","no","yes","no",3,"nonexistent","no"
29,"blue-collar","single","high.school","no","yes","no",1,"nonexistent","no"
28,"admin.","single","university.degree","no","yes","yes",6,"failure","no"
59,"retired","divorced","professional.course","no","no","no",1,"nonexistent","no"
45,"blue-collar","married","basic.9y","unknown","yes","no",4,"failure","no"
32,"technician","single","university.degree","no","yes","no",13,"nonexistent","no"
55,"retired","divorced","professional.course","no","no","yes",2,"nonexistent","no"
29,"admin.","single","university.degree","no","no","no",1,"nonexistent","no"
31,"technician","married","professional.course","no","no","no",2,"nonexistent","no"
34,"technician","married","high.school","no","yes","no",1,"nonexistent","no"
25,"technician","divorced","university.degree","no","yes","no",2,"nonexistent","no"
35,"blue-collar","married","basic.9y","no","yes","no",1,"success","no"
49,"technician","married","basic.9y","no","yes","no",6,"nonexistent","no"
35,"blue-collar","married","basic.9y","unknown","yes","no",1,"nonexistent","no"
36,"admin.","married","university.degree","no","no","no",1,"failure","no"
29,"technician","single","university.degree","no","yes","yes",2,"nonexistent","no"
30,"admin.","single","high.school","no","unknown","unknown",2,"nonexistent","no"
24,"student","married","university.degree","no","no","no",1,"nonexistent","no"
47,"admin.","single","university.degree","no","yes","no",4,"nonexistent","yes"
32,"blue-collar","married","basic.4y","no","no","yes",4,"nonexistent","no"
34,"technician","single","professional.course","no","no","no",1,"nonexistent","no"
34,"admin.","single","university.degree","no","no","no",4,"failure","no"
39,"technician","married","professional.course","no","no","no",2,"nonexistent","no"
47,"blue-collar","married","basic.9y","no","yes","yes",6,"failure","no"
32,"technician","married","high.school","no","yes","no",1,"nonexistent","no"
29,"technician","single","university.degree","no","yes","no",1,"nonexistent","no"
57,"retired","married","university.degree","no","yes","no",5,"nonexistent","no"
49,"management","married","high.school","no","no","no",1,"nonexistent","no"
42,"technician","married","professional.course","unknown","yes","no",10,"nonexistent","no"
29,"admin.","single","university.degree","unknown","yes","no",2,"nonexistent","no"
34,"technician","married","professional.course","no","yes","yes",3,"nonexistent","no"
51,"entrepreneur","divorced","university.degree","no","yes","no",1,"nonexistent","no"
47,"blue-collar","divorced","basic.9y","no","no","no",1,"nonexistent","no"
53,"technician","married","professional.course","no","yes","no",5,"failure","no"
28,"technician","married","basic.9y","no","yes","no",2,"nonexistent","no"
27,"technician","single","university.degree","no","yes","no",1,"failure","yes"
23,"admin.","single","university.degree","no","yes","no",1,"failure","no"
30,"student","single","high.school","no","no","no",1,"failure","no"
42,"blue-collar","married","basic.6y","no","yes","no",1,"nonexistent","no"
38,"admin.","single","university.degree","no","yes","no",2,"nonexistent","no"
29,"admin.","married","university.degree","no","yes","yes",1,"nonexistent","no"
44,"housemaid","married","basic.4y","no","yes","no",1,"failure","no"
59,"retired","married","high.school","no","unknown","unknown",2,"nonexistent","no"
45,"management","single","basic.9y","no","yes","no",3,"failure","no"
51,"management","married","university.degree","unknown","no","yes",1,"nonexistent","no"
28,"services","married","high.school","no","yes","yes",2,"nonexistent","no"
29,"technician","married","university.degree","no","yes","yes",2,"nonexistent","no"
28,"technician","single","professional.course","no","yes","no",2,"failure","no"
29,"technician","single","professional.course","no","yes","no",2,"nonexistent","no"
40,"admin.","single","high.school","unknown","yes","no",3,"nonexistent","no"
43,"blue-collar","married","basic.4y","no","yes","no",2,"nonexistent","no"
54,"management","married","university.degree","no","no","yes",1,"nonexistent","no"
42,"admin.","married","university.degree","no","yes","no",5,"nonexistent","no"
55,"services","married","high.school","no","no","no",1,"failure","no"
49,"blue-collar","single","basic.4y","unknown","no","no",1,"nonexistent","no"
52,"services","married","professional.course","unknown","yes","yes",3,"nonexistent","no"
32,"admin.","married","high.school","no","no","no",8,"nonexistent","no"
23,"admin.","single","university.degree","no","yes","yes",3,"nonexistent","no"
34,"technician","married","professional.course","no","yes","yes",7,"nonexistent","no"
36,"services","married","high.school","no","no","no",3,"nonexistent","no"
54,"admin.","single","university.degree","unknown","no","no",2,"nonexistent","no"
39,"services","divorced","basic.9y","no","yes","no",1,"nonexistent","no"
50,"housemaid","divorced","basic.4y","no","no","no",1,"nonexistent","no"
30,"services","single","high.school","no","yes","no",2,"nonexistent","yes"
27,"blue-collar","married","basic.9y","no","no","yes",1,"nonexistent","no"
32,"admin.","divorced","university.degree","no","yes","no",4,"nonexistent","no"
54,"technician","married","university.degree","unknown","no","no",4,"nonexistent","no"
40,"blue-collar","married","basic.4y","unknown","unknown","unknown",1,"nonexistent","no"
50,"blue-collar","married","professional.course","unknown","yes","no",1,"failure","no"
35,"technician","single","professional.course","no","unknown","unknown",2,"nonexistent","no"
26,"admin.","single","university.degree","no","yes","no",1,"failure","no"
45,"admin.","single","university.degree","no","yes","no",1,"nonexistent","no"
28,"technician","married","high.school","no","no","no",1,"nonexistent","no"
28,"blue-collar","single","basic.4y","no","yes","no",2,"nonexistent","no"
50,"technician","married","professional.course","no","no","no",2,"nonexistent","no"
31,"blue-collar","married","basic.6y","no","yes","no",12,"nonexistent","no"
34,"admin.","single","university.degree","no","no","no",1,"nonexistent","no"
56,"blue-collar","married","basic.4y","unknown","no","no",5,"nonexistent","no"
29,"entrepreneur","married","basic.4y","no","no","no",4,"nonexistent","no"
58,"admin.","married","university.degree","no","no","no",2,"nonexistent","no"
46,"blue-collar","married","basic.4y","no","no","no",3,"nonexistent","no"
35,"blue-collar","divorced","basic.9y","no","no","yes",1,"nonexistent","no"
34,"management","married","university.degree","unknown","yes","no",1,"nonexistent","no"
39,"admin.","single","high.school","no","no","no",1,"nonexistent","no"
40,"management","married","unknown","no","yes","no",1,"failure","no"
40,"admin.","married","university.degree","no","yes","yes",1,"nonexistent","no"
54,"blue-collar","married","basic.4y","unknown","yes","yes",5,"nonexistent","no"
25,"admin.","single","university.degree","no","no","no",2,"nonexistent","no"
40,"unemployed","married","professional.course","no","yes","no",3,"nonexistent","no"
49,"blue-collar","married","basic.4y","unknown","no","no",3,"nonexistent","no"
41,"admin.","married","unknown","no","yes","no",1,"failure","no"
32,"admin.","married","high.school","no","no","no",2,"nonexistent","no"
44,"admin.","divorced","university.degree","no","no","no",2,"nonexistent","no"
41,"admin.","married","university.degree","no","no","no",3,"nonexistent","yes"
30,"technician","single","university.degree","no","yes","yes",2,"nonexistent","no"
27,"blue-collar","single","basic.9y","no","yes","no",1,"nonexistent","no"
41,"blue-collar","married","basic.4y","no","yes","no",3,"nonexistent","no"
36,"blue-collar","married","basic.9y","unknown","yes","no",1,"failure","no"
54,"entrepreneur","married","professional.course","no","yes","yes",1,"nonexistent","no"
30,"blue-collar","single","professional.course","no","no","no",1,"failure","no"
25,"student","single","unknown","unknown","yes","no",1,"failure","no"
42,"management","married","high.school","no","no","no",2,"nonexistent","no"
36,"services","divorced","basic.9y","no","yes","no",2,"nonexistent","no"
45,"admin.","married","university.degree","unknown","yes","no",6,"nonexistent","no"
38,"technician","married","university.degree","unknown","no","no",2,"nonexistent","no"
38,"admin.","single","professional.course","no","no","no",1,"nonexistent","no"
34,"blue-collar","married","basic.4y","no","no","no",2,"nonexistent","no"
44,"admin.","married","basic.9y","unknown","no","no",3,"failure","no"
37,"services","single","basic.9y","no","no","no",1,"nonexistent","no"
39,"blue-collar","single","basic.9y","no","no","no",3,"nonexistent","yes"
57,"admin.","married","university.degree","no","no","no",1,"nonexistent","no"
34,"technician","married","professional.course","unknown","yes","no",4,"nonexistent","no"
25,"admin.","married","unknown","no","no","no",1,"nonexistent","no"
52,"admin.","married","high.school","no","yes","no",2,"failure","no"
23,"technician","single","high.school","no","no","no",1,"nonexistent","no"
57,"technician","married","basic.4y","unknown","no","no",1,"nonexistent","no"
50,"admin.","married","university.degree","no","no","no",1,"nonexistent","no"
46,"technician","married","professional.course","no","no","yes",1,"nonexistent","no"
43,"blue-collar","single","basic.4y","unknown","no","no",3,"nonexistent","no"
38,"management","divorced","university.degree","no","no","no",2,"failure","no"
53,"admin.","single","basic.6y","no","yes","yes",2,"nonexistent","no"
35,"self-employed","unknown","university.degree","no","no","no",1,"nonexistent","no"
28,"services","married","high.school","no","no","no",1,"nonexistent","no"
25,"blue-collar","single","basic.9y","no","yes","no",1,"nonexistent","no"
56,"services","divorced","high.school","unknown","no","no",5,"nonexistent","no"
56,"technician","married","university.degree","unknown","no","no",19,"nonexistent","no"
33,"services","single","high.school","no","yes","no",5,"nonexistent","no"
31,"housemaid","single","professional.course","unknown","yes","yes",1,"nonexistent","no"
48,"admin.","divorced","university.degree","no","no","no",1,"nonexistent","yes"
45,"self-employed","divorced","university.degree","no","yes","yes",1,"nonexistent","no"
24,"blue-collar","married","basic.9y","no","yes","no",1,"nonexistent","no"
33,"blue-collar","married","basic.9y","no","yes","yes",1,"nonexistent","no"
38,"admin.","married","high.school","unknown","no","no",4,"nonexistent","no"
48,"housemaid","married","basic.4y","unknown","no","yes",1,"nonexistent","no"
28,"entrepreneur","married","basic.9y","unknown","no","no",5,"nonexistent","no"
50,"self-employed","married","basic.4y","unknown","unknown","unknown",3,"nonexistent","no"
29,"admin.","married","university.degree","no","yes","yes",3,"nonexistent","no"
38,"blue-collar","married","basic.6y","no","no","no",3,"nonexistent","no"
18,"student","single","unknown","no","yes","yes",1,"nonexistent","no"
31,"unemployed","married","basic.9y","no","yes","no",1,"nonexistent","no"
34,"blue-collar","married","basic.9y","no","yes","no",5,"nonexistent","no"
38,"admin.","married","university.degree","no","yes","no",9,"nonexistent","no"
57,"admin.","single","high.school","no","yes","no",5,"success","no"
35,"technician","divorced","unknown","no","yes","yes",1,"nonexistent","no"
77,"retired","divorced","professional.course","no","no","no",1,"nonexistent","no"
29,"blue-collar","single","basic.9y","unknown","yes","yes",1,"nonexistent","no"
46,"management","married","university.degree","no","no","yes",2,"nonexistent","no"
21,"student","single","high.school","no","yes","yes",2,"nonexistent","yes"
43,"management","married","university.degree","no","no","no",1,"nonexistent","no"
43,"admin.","married","basic.9y","unknown","no","no",2,"nonexistent","no"
31,"technician","married","university.degree","no","no","no",2,"failure","no"
39,"student","single","unknown","no","yes","no",1,"nonexistent","no"
44,"technician","single","university.degree","no","no","yes",2,"nonexistent","no"
32,"services","single","high.school","no","yes","no",1,"failure","no"
43,"self-employed","single","high.school","unknown","no","no",1,"failure","no"
48,"services","married","high.school","no","no","no",1,"nonexistent","no"
28,"blue-collar","single","basic.6y","no","no","no",1,"nonexistent","no"
36,"blue-collar","married","basic.9y","no","yes","yes",1,"failure","no"
52,"self-employed","divorced","basic.9y","no","yes","no",5,"failure","no"
34,"services","single","high.school","no","yes","no",3,"failure","no"
37,"admin.","married","high.school","no","yes","no",4,"nonexistent","no"
25,"admin.","single","university.degree","no","no","no",1,"nonexistent","no"
48,"technician","divorced","professional.course","no","no","no",1,"nonexistent","no"
36,"self-employed","single","professional.course","no","yes","no",4,"nonexistent","no"
27,"technician","single","professional.course","no","no","no",1,"nonexistent","no"
34,"blue-collar","married","basic.9y","no","yes","no",2,"nonexistent","no"
42,"services","married","high.school","no","yes","yes",1,"failure","no"
37,"blue-collar","married","basic.9y","unknown","yes","no",1,"nonexistent","no"
41,"blue-collar","married","basic.9y","unknown","no","no",2,"nonexistent","no"
51,"blue-collar","married","basic.9y","unknown","yes","no",1,"nonexistent","no"
27,"admin.","married","high.school","unknown","no","no",3,"nonexistent","no"
35,"admin.","single","university.degree","no","yes","no",1,"nonexistent","no"
31,"services","divorced","high.school","no","yes","yes",1,"nonexistent","no"
31,"blue-collar","single","basic.9y","no","yes","no",1,"nonexistent","no"
31,"blue-collar","married","basic.9y","no","no","no",6,"nonexistent","no"
64,"unknown","married","unknown","no","yes","no",4,"nonexistent","yes"
33,"management","married","university.degree","no","yes","no",6,"nonexistent","no"
41,"blue-collar","married","basic.4y","unknown","yes","no",2,"failure","no"
34,"admin.","single","high.school","no","no","no",1,"nonexistent","no"
41,"admin.","married","basic.9y","no","yes","no",1,"nonexistent","no"
36,"blue-collar","married","basic.6y","no","yes","no",1,"nonexistent","no"
59,"retired","married","professional.course","unknown","yes","no",8,"nonexistent","no"
56,"management","married","basic.9y","no","yes","no",3,"nonexistent","yes"
59,"retired","married","professional.course","no","no","no",3,"nonexistent","no"
32,"admin.","single","university.degree","no","unknown","unknown",1,"nonexistent","no"
40,"technician","married","basic.9y","no","yes","no",3,"nonexistent","no"
38,"admin.","married","university.degree","no","yes","no",1,"success","yes"
34,"admin.","married","professional.course","no","yes","no",2,"nonexistent","no"
41,"unknown","married","unknown","no","no","no",2,"nonexistent","no"
33,"admin.","single","high.school","no","no","no",1,"nonexistent","no"
31,"technician","single","high.school","no","yes","yes",2,"nonexistent","no"
29,"blue-collar","divorced","basic.9y","no","yes","no",4,"failure","no"
38,"admin.","single","basic.9y","unknown","yes","no",5,"nonexistent","no"
24,"admin.","single","high.school","no","yes","yes",1,"nonexistent","yes"
34,"admin.","single","basic.6y","no","no","no",11,"nonexistent","no"
27,"admin.","married","high.school","no","yes","yes",1,"nonexistent","no"
32,"blue-collar","married","high.school","no","no","no",1,"failure","no"
49,"admin.","married","high.school","no","yes","no",2,"nonexistent","no"
36,"technician","divorced","basic.9y","no","no","no",1,"nonexistent","no"
46,"blue-collar","single","basic.9y","unknown","yes","no",1,"nonexistent","no"
47,"services","divorced","high.school","no","yes","no",1,"nonexistent","no"
37,"services","married","high.school","unknown","yes","yes",3,"nonexistent","no"
31,"services","married","high.school","no","unknown","unknown",2,"failure","no"
36,"technician","married","university.degree","no","yes","yes",4,"nonexistent","no"
30,"technician","single","university.degree","no","yes","no",2,"failure","yes"
32,"entrepreneur","married","high.school","no","yes","no",1,"failure","no"
54,"management","married","university.degree","no","yes","no",1,"nonexistent","no"
51,"blue-collar","married","basic.9y","no","no","yes",1,"nonexistent","yes"
28,"technician","divorced","university.degree","no","yes","no",1,"nonexistent","no"
54,"management","married","university.degree","no","no","no",1,"failure","yes"
31,"admin.","married","high.school","unknown","yes","no",13,"nonexistent","no"
57,"admin.","married","basic.6y","no","no","no",1,"failure","no"
49,"unemployed","married","professional.course","no","no","no",1,"nonexistent","no"
45,"blue-collar","married","basic.6y","unknown","yes","no",3,"nonexistent","no"
33,"management","married","university.degree","unknown","yes","yes",8,"nonexistent","no"
53,"services","married","university.degree","no","no","no",1,"failure","no"
26,"student","single","basic.9y","no","yes","no",2,"nonexistent","yes"
31,"technician","married","university.degree","no","no","no",2,"nonexistent","no"
32,"blue-collar","married","basic.9y","no","yes","no",3,"nonexistent","no"
29,"technician","married","high.school","unknown","no","no",1,"nonexistent","no"
31,"technician","single","high.school","no","no","no",1,"nonexistent","no"
29,"student","single","unknown","no","no","no",4,"nonexistent","no"
49,"blue-collar","married","basic.9y","unknown","no","yes",3,"nonexistent","no"
26,"admin.","single","university.degree","no","yes","yes",7,"nonexistent","no"
43,"blue-collar","married","unknown","unknown","no","yes",1,"nonexistent","no"
56,"retired","married","basic.9y","no","yes","yes",4,"nonexistent","no"
29,"admin.","single","university.degree","no","yes","no",3,"nonexistent","no"
31,"technician","married","basic.9y","no","yes","no",5,"failure","no"
50,"blue-collar","married","basic.9y","unknown","yes","no",3,"nonexistent","no"
37,"technician","married","professional.course","no","yes","no",6,"nonexistent","no"
42,"blue-collar","married","basic.4y","unknown","yes","yes",1,"nonexistent","no"
30,"services","married","basic.9y","unknown","yes","no",1,"nonexistent","no"
25,"blue-collar","married","basic.6y","unknown","yes","no",3,"nonexistent","no"
35,"self-employed","single","university.degree","no","no","yes",1,"success","no"
37,"entrepreneur","married","high.school","unknown","no","no",1,"failure","no"
30,"entrepreneur","married","high.school","no","yes","no",3,"nonexistent","no"
33,"blue-collar","married","basic.6y","unknown","yes","yes",2,"nonexistent","yes"
36,"technician","married","university.degree","no","no","no",2,"nonexistent","no"
46,"services","married","high.school","no","no","no",3,"nonexistent","no"
51,"unemployed","married","basic.6y","no","no","no",2,"failure","yes"
33,"technician","single","professional.course","no","yes","no",2,"nonexistent","yes"
26,"entrepreneur","married","unknown","no","no","no",3,"nonexistent","no"
40,"blue-collar","divorced","high.school","unknown","no","no",6,"nonexistent","no"
25,"blue-collar","single","high.school","no","no","no",3,"nonexistent","yes"
38,"management","married","basic.9y","unknown","no","no",1,"nonexistent","yes"
54,"admin.","single","university.degree","no","no","no",1,"nonexistent","yes"
50,"admin.","married","basic.6y","no","yes","no",1,"nonexistent","no"
36,"management","married","university.degree","no","yes","no",6,"nonexistent","no"
43,"admin.","single","university.degree","no","yes","no",2,"nonexistent","no"
57,"management","divorced","university.degree","unknown","no","no",2,"nonexistent","no"
38,"blue-collar","married","basic.4y","no","no","no",1,"failure","no"
27,"admin.","single","high.school","no","yes","no",2,"nonexistent","no"
35,"management","married","university.degree","no","yes","no",1,"nonexistent","no"
28,"technician","single","high.school","no","yes","no",2,"nonexistent","no"
57,"admin.","married","university.degree","unknown","yes","no",1,"nonexistent","no"
40,"blue-collar","married","basic.4y","unknown","no","no",5,"nonexistent","no"
43,"blue-collar","married","basic.6y","no","no","yes",2,"nonexistent","no"
34,"technician","divorced","professional.course","no","yes","no",1,"failure","no"
67,"retired","married","unknown","no","no","no",2,"nonexistent","no"
48,"admin.","divorced","high.school","no","yes","no",1,"nonexistent","no"
35,"admin.","single","high.school","no","yes","yes",4,"failure","no"
27,"admin.","single","university.degree","no","no","no",1,"success","no"
25,"admin.","single","high.school","no","yes","no",1,"nonexistent","no"
42,"technician","married","professional.course","no","yes","yes",2,"nonexistent","no"
47,"admin.","divorced","university.degree","no","yes","no",2,"nonexistent","no"
49,"entrepreneur","married","university.degree","no","yes","no",2,"nonexistent","no"
36,"admin.","single","basic.9y","no","yes","no",1,"nonexistent","yes"
35,"technician","married","professional.course","no","no","no",3,"nonexistent","no"
29,"blue-collar","married","basic.4y","no","yes","no",1,"nonexistent","no"
45,"technician","married","professional.course","unknown","no","no",3,"nonexistent","no"
53,"blue-collar","married","basic.6y","no","yes","no",1,"nonexistent","no"
41,"admin.","married","university.degree","no","no","yes",3,"nonexistent","no"
50,"management","married","high.school","unknown","no","no",17,"nonexistent","no"
31,"management","married","basic.9y","no","no","yes",2,"nonexistent","no"
46,"services","married","high.school","no","no","no",3,"nonexistent","no"
36,"blue-collar","married","high.school","unknown","no","no",4,"nonexistent","no"
43,"blue-collar","single","professional.course","no","no","no",1,"nonexistent","no"
48,"entrepreneur","married","basic.9y","unknown","yes","no",1,"nonexistent","no"
31,"services","married","high.school","no","unknown","unknown",2,"failure","no"
21,"services","single","high.school","no","yes","yes",2,"nonexistent","no"
56,"services","married","high.school","unknown","no","no",1,"nonexistent","no"
54,"management","married","basic.6y","no","no","no",3,"nonexistent","no"
44,"services","married","high.school","unknown","no","no",2,"nonexistent","no"
31,"unemployed","married","university.degree","no","no","no",1,"nonexistent","no"
50,"admin.","married","university.degree","no","no","no",2,"failure","yes"
48,"admin.","married","university.degree","no","yes","yes",1,"success","yes"
26,"self-employed","single","university.degree","no","yes","no",2,"nonexistent","no"
37,"services","single","basic.9y","no","yes","no",2,"nonexistent","no"
37,"unemployed","unknown","university.degree","no","no","no",1,"nonexistent","no"
50,"services","married","unknown","unknown","no","no",1,"nonexistent","no"
47,"admin.","married","university.degree","no","yes","no",5,"nonexistent","no"
41,"blue-collar","single","basic.9y","no","no","no",1,"nonexistent","no"
32,"blue-collar","single","basic.9y","no","yes","no",17,"nonexistent","no"
38,"services","married","basic.9y","no","no","yes",2,"nonexistent","no"
48,"technician","married","professional.course","no","no","no",1,"failure","no"
46,"blue-collar","married","basic.4y","unknown","yes","no",2,"nonexistent","no"
48,"self-employed","married","basic.9y","unknown","yes","no",2,"nonexistent","no"
38,"unknown","divorced","high.school","unknown","yes","no",3,"nonexistent","no"
38,"admin.","married","university.degree","no","yes","no",2,"nonexistent","no"
55,"retired","married","basic.4y","unknown","no","yes",4,"nonexistent","no"
27,"admin.","married","high.school","no","yes","yes",3,"nonexistent","no"
28,"services","married","high.school","no","yes","no",3,"failure","no"
29,"blue-collar","single","basic.9y","no","no","no",1,"nonexistent","no"
47,"services","divorced","basic.4y","no","no","no",2,"nonexistent","no"
34,"student","single","basic.4y","unknown","yes","no",3,"nonexistent","no"
51,"services","divorced","high.school","unknown","no","no",2,"failure","no"
40,"admin.","divorced","university.degree","no","yes","yes",1,"nonexistent","no"
38,"admin.","married","high.school","no","yes","no",1,"nonexistent","no"
42,"blue-collar","married","basic.4y","no","no","no",1,"nonexistent","no"
30,"unemployed","single","university.degree","no","yes","yes",3,"nonexistent","no"
36,"services","married","high.school","unknown","no","no",1,"nonexistent","no"
33,"admin.","single","high.school","no","no","yes",1,"nonexistent","no"
47,"management","married","university.degree","no","no","no",3,"nonexistent","no"
33,"admin.","married","university.degree","no","yes","no",2,"nonexistent","yes"
30,"services","single","basic.9y","no","yes","no",3,"nonexistent","no"
54,"admin.","married","high.school","no","no","no",2,"nonexistent","no"
47,"admin.","married","basic.9y","no","no","no",1,"nonexistent","no"
32,"technician","single","university.degree","no","yes","no",1,"nonexistent","no"
32,"blue-collar","married","basic.9y","no","yes","no",2,"nonexistent","no"
38,"self-employed","married","basic.9y","no","yes","no",1,"failure","no"
38,"technician","single","high.school","no","no","no",2,"nonexistent","no"
38,"unknown","married","unknown","no","yes","no",10,"nonexistent","no"
53,"blue-collar","married","high.school","no","yes","no",7,"nonexistent","no"
26,"unemployed","single","basic.9y","no","yes","no",3,"nonexistent","no"
27,"blue-collar","married","basic.9y","no","unknown","unknown",2,"nonexistent","no"
38,"admin.","single","university.degree","no","no","no",1,"nonexistent","no"
41,"services","married","high.school","unknown","yes","no",2,"nonexistent","yes"
39,"self-employed","divorced","high.school","no","no","no",1,"success","yes"
48,"admin.","divorced","high.school","no","no","no",2,"nonexistent","no"
32,"blue-collar","married","basic.6y","no","yes","no",6,"nonexistent","no"
35,"blue-collar","married","basic.6y","no","no","no",1,"nonexistent","no"
51,"blue-collar","married","basic.9y","unknown","yes","no",1,"nonexistent","no"
35,"admin.","single","university.degree","no","yes","no",5,"nonexistent","no"
60,"blue-collar","married","basic.4y","unknown","yes","no",4,"nonexistent","no"
28,"admin.","single","university.degree","no","no","yes",2,"nonexistent","no"
52,"management","married","high.school","no","yes","yes",1,"failure","yes"
35,"blue-collar","married","basic.9y","no","no","no",2,"nonexistent","no"
27,"admin.","single","university.degree","no","no","no",1,"success","no"
34,"technician","married","high.school","no","no","no",1,"nonexistent","no"
36,"blue-collar","married","basic.4y","no","no","yes",1,"nonexistent","no"
28,"blue-collar","married","basic.9y","unknown","no","no",1,"nonexistent","no"
32,"admin.","married","university.degree","no","yes","yes",1,"nonexistent","no"
49,"blue-collar","divorced","basic.6y","unknown","no","no",3,"nonexistent","yes"
55,"admin.","married","basic.9y","no","yes","yes",2,"nonexistent","no"
50,"technician","married","high.school","no","yes","no",1,"failure","yes"
37,"admin.","single","university.degree","no","no","no",4,"nonexistent","no"
35,"blue-collar","divorced","basic.9y","no","unknown","unknown",3,"nonexistent","no"
58,"unknown","married","basic.9y","no","yes","no",1,"failure","yes"
32,"entrepreneur","married","university.degree","no","no","no",5,"nonexistent","no"
35,"retired","single","basic.9y","unknown","yes","yes",1,"nonexistent","no"
35,"technician","single","professional.course","no","yes","no",4,"nonexistent","no"
26,"admin.","single","high.school","unknown","no","no",3,"nonexistent","no"
47,"blue-collar","married","professional.course","no","yes","no",4,"failure","no"
29,"blue-collar","single","basic.9y","no","no","no",1,"nonexistent","no"
37,"entrepreneur","single","basic.9y","no","yes","no",1,"success","no"
32,"technician","single","high.school","no","no","no",11,"nonexistent","no"
46,"services","married","high.school","no","yes","no",2,"nonexistent","no"
36,"services","married","high.school","no","no","yes",5,"nonexistent","no"
35,"admin.","married","university.degree","no","no","no",4,"nonexistent","yes"
31,"self-employed","married","university.degree","no","yes","no",2,"nonexistent","no"
29,"admin.","single","university.degree","no","no","no",2,"nonexistent","yes"
46,"housemaid","married","basic.4y","unknown","no","no",2,"nonexistent","no"
85,"housemaid","divorced","basic.4y","unknown","yes","no",2,"nonexistent","no"
29,"technician","single","basic.9y","no","no","no",1,"nonexistent","no"
31,"management","single","university.degree","no","yes","no",2,"nonexistent","no"
34,"blue-collar","married","basic.4y","no","yes","no",1,"nonexistent","no"
29,"technician","single","professional.course","no","yes","yes",1,"nonexistent","no"
46,"admin.","single","university.degree","no","yes","yes",7,"nonexistent","no"
29,"blue-collar","divorced","high.school","no","no","no",1,"nonexistent","yes"
54,"blue-collar","single","basic.4y","no","no","no",3,"nonexistent","no"
26,"management","single","university.degree","no","yes","no",5,"nonexistent","no"
27,"admin.","married","professional.course","no","yes","no",1,"nonexistent","no"
57,"management","married","basic.4y","unknown","yes","no",5,"failure","no"
32,"technician","single","university.degree","no","yes","no",5,"nonexistent","no"
35,"services","married","high.school","no","yes","no",1,"nonexistent","no"
32,"blue-collar","single","high.school","no","unknown","unknown",2,"nonexistent","no"
59,"retired","married","basic.9y","no","no","no",4,"nonexistent","no"
29,"blue-collar","married","basic.9y","no","yes","no",1,"nonexistent","no"
37,"admin.","married","high.school","no","no","yes",1,"nonexistent","no"
40,"admin.","married","high.school","unknown","no","no",5,"nonexistent","no"
55,"admin.","married","professional.course","no","yes","yes",1,"nonexistent","no"
33,"housemaid","single","university.degree","unknown","yes","no",3,"nonexistent","no"
36,"admin.","single","high.school","no","no","no",3,"nonexistent","no"
59,"admin.","married","high.school","no","no","no",4,"nonexistent","no"
34,"blue-collar","single","basic.9y","no","no","no",3,"nonexistent","no"
30,"self-employed","married","professional.course","no","no","no",2,"failure","no"
29,"admin.","married","high.school","no","no","no",7,"nonexistent","no"
34,"blue-collar","single","basic.9y","no","no","no",2,"failure","no"
47,"blue-collar","single","basic.4y","unknown","yes","no",1,"nonexistent","no"
41,"entrepreneur","married","basic.4y","no","yes","no",2,"nonexistent","no"
30,"admin.","single","university.degree","no","yes","no",1,"nonexistent","no"
33,"admin.","married","high.school","unknown","yes","no",1,"nonexistent","no"
33,"unemployed","single","unknown","no","no","no",6,"nonexistent","no"
33,"services","married","high.school","no","unknown","unknown",1,"failure","no"
